127.0.0.1 - - [12/Jan/2017:14:22:33 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/state/Stateful.js?_dc=1484202155699 HTTP/1.1" 200 13955
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/util/ProtoElement.js?_dc=1484202155700 HTTP/1.1" 200 7902
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/ComponentQuery.js?_dc=1484202155699 HTTP/1.1" 200 36841
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/PluginManager.js?_dc=1484202155700 HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/Manager.js?_dc=1484202155741 HTTP/1.1" 200 14608
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DragSource.js?_dc=1484202155731 HTTP/1.1" 200 15043
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/Animator.js?_dc=1484202155741 HTTP/1.1" 200 13194
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/panel/Proxy.js?_dc=1484202155731 HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/Easing.js?_dc=1484202155741 HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/container/HBox.js?_dc=1484202155763 HTTP/1.1" 200 5870
